complaint_id,text,category,priority,eta_days,officer_id
8f0afbf4-0358-4fcf-a5d7-dc93e64925f0,Transformer damaged,electricity,high,12,OFF_3
a5d64d45-ca8c-4a2f-ac69-8d03553c7cbd,Traffic signal broken,road,medium,3,OFF_2
44192b73-9755-41b3-bcd3-29919aa55dfb,Water leakage near road,water,high,12,OFF_4
5e151e74-b46e-4a58-a665-91ca3545151a,Power outage in sector 9,electricity,medium,3,OFF_4
54c31848-a28c-4d64-8f4e-8f8d71d01aa8,Transformer damaged,electricity,high,6,OFF_3
0c30bd35-1773-4144-82e2-3a4174d9fcd0,Transformer damaged,electricity,high,2,OFF_3
3f2f44c3-dae2-4eec-b0e3-8fd2bf03a66d,Power outage in sector 9,electricity,high,4,OFF_3
262f0af0-187b-4928-8d44-07ee4e8d2f4e,Water leakage near road,water,medium,13,OFF_1
a8829f29-5faa-42b5-88d2-cbc37a1af018,Potholes on highway,road,medium,4,OFF_5
856fa878-c4db-45cf-8eec-ea9782f8a191,Transformer damaged,electricity,low,4,OFF_5
be1c3970-8dd7-46ca-8859-2dfd3754bf28,Street light not working,electricity,medium,3,OFF_3
67f063df-a850-4e00-adca-0af1fa23424f,Road damaged after rain,road,high,9,OFF_2
48ea6fa6-fc66-4e38-b066-ffffd589690c,Power outage in sector 9,electricity,low,12,OFF_2
ee0cff42-f7bc-4fcf-8f45-d211dc9dd7d8,Street light not working,electricity,medium,13,OFF_2
704253d8-3fda-45fd-9cb7-48f7c303fce4,Road damaged after rain,road,high,1,OFF_4
a8f413e2-759d-4aa1-b4ef-3c19dcf46db0,Water leakage near road,water,low,4,OFF_3
95223722-5fc8-4ba3-8950-bed7d5eea45a,Transformer damaged,electricity,low,2,OFF_3
af93f812-a66c-403b-aab2-0f1d3e6230b0,Street light not working,electricity,high,2,OFF_3
bf3a81d1-3d97-495c-95c5-d96385726e98,No water supply,water,low,2,OFF_3
f134a781-b3e3-4afb-a841-78377cfe6dfa,Traffic signal broken,road,low,15,OFF_5
8141a2fe-7523-4698-a3e8-53b05869ee59,Power outage in sector 9,electricity,medium,8,OFF_3
c38d31db-4ed9-4d18-af2f-1dd6d3d067c1,Water leakage near road,water,medium,5,OFF_5
5536f5dc-7ddb-426a-8f04-467d685cae17,Dirty water coming from tap,water,low,6,OFF_1
dac9eab1-6b78-4181-bcb7-5d64773c2ef5,Power outage in sector 9,electricity,high,14,OFF_2
65409c1d-515f-45a0-b80e-3904048feab5,Road damaged after rain,road,medium,5,OFF_1
4908979b-37ce-4fca-83f6-4b2b252fd3bf,Traffic signal broken,road,low,13,OFF_3
be0f5bfe-191f-4a2d-8937-acb438c022a9,Transformer damaged,electricity,low,10,OFF_2
69320795-edbe-4be9-9ae8-9291f75b7b1e,Water leakage near road,water,medium,14,OFF_3
f675f25a-3caa-4e04-a7b5-f66d7acc835f,Road damaged after rain,road,high,15,OFF_5
a6fe697c-9e9e-4dcc-9679-7dc192618a1f,Transformer damaged,electricity,high,13,OFF_3
77c0d455-bc15-43bc-85a6-236fbf646e61,Potholes on highway,road,low,15,OFF_1
48dedd76-d412-4ef9-be13-4eebf37602fa,Traffic signal broken,road,low,1,OFF_2
eadb7054-2c3c-49f0-881e-ec75f8887f73,Potholes on highway,road,low,15,OFF_4
25caeb5e-6688-4362-9f9b-dd817d176f22,Potholes on highway,road,high,11,OFF_5
5d116388-ff31-4afd-9259-a525d09cee85,Road damaged after rain,road,high,7,OFF_5
cc664130-9bcc-4814-a0e2-ae855b39ead0,No water supply,water,medium,1,OFF_5
b2fe24a5-f9ee-4542-a4db-7277182661ef,Transformer damaged,electricity,medium,10,OFF_1
a158fa6f-a1fe-405a-a919-94f8d5ff6f66,Street light not working,electricity,medium,1,OFF_4
a7b6b5c2-9a27-414a-8c98-ee8ffabd2428,No water supply,water,medium,10,OFF_2
5d187ecd-30e6-4fde-be0a-9243f6f9250e,No water supply,water,low,15,OFF_3
4e877088-fa9e-4e6e-8986-97e62a99b708,Traffic signal broken,road,medium,13,OFF_5
7e6a4b37-3273-48a0-aeb1-2899820b37ed,Dirty water coming from tap,water,medium,3,OFF_1
72a85ed8-2330-4fdf-b5aa-46713cc6f2b2,Traffic signal broken,road,low,15,OFF_1
012d9729-366d-42cd-86e5-b24d8c739a7a,Traffic signal broken,road,high,12,OFF_4
1903c7d9-c60f-428d-a7b9-68e288ca764e,Power outage in sector 9,electricity,low,9,OFF_1
face0c08-999c-4267-9215-23274d500e82,Transformer damaged,electricity,high,13,OFF_4
b719d2d0-8972-4b5e-8d09-f01ee2476eba,Traffic signal broken,road,high,8,OFF_4
233d0d6f-dba2-4315-92c2-18e50ba4c6f7,Water leakage near road,water,high,9,OFF_2
99171a35-44ce-4337-ad5a-2582b3ed1553,Potholes on highway,road,low,5,OFF_1
e2d53e90-79a2-4918-bb15-a72a5bbf65a1,Power outage in sector 9,electricity,medium,9,OFF_4
0855a89f-d713-4a00-88e6-72f40ffb0c18,Street light not working,electricity,low,11,OFF_5
90341a36-5f5b-485e-93bd-6b690b2a5bfb,Water leakage near road,water,low,15,OFF_4
a008227f-c2b0-4170-9db7-fa28648409e5,No water supply,water,low,4,OFF_3
0a6b3623-6432-4e45-ad9d-1e53925d214b,Potholes on highway,road,high,13,OFF_5
148c0602-2013-4a17-ad8e-3e3b09fefb11,Water leakage near road,water,low,3,OFF_1
34ecf97b-cb20-430e-afa3-38d6ad5f1c31,Street light not working,electricity,medium,3,OFF_2
c1fad2fb-308a-4739-9899-4f271f9b8a0b,Traffic signal broken,road,medium,1,OFF_4
956883fa-4bd3-4627-abf5-0660366e9985,Water leakage near road,water,high,13,OFF_3
e04d678a-5c6e-4e66-a87a-239ed3658d62,Water leakage near road,water,high,6,OFF_5
eca07805-2f24-4f3c-a592-8f604bf025cd,Water leakage near road,water,low,13,OFF_4
23d4e83e-beb1-4d90-94f5-afb8a69a2a24,No water supply,water,low,11,OFF_4
f8e0f79c-fcaf-4195-a8a7-65a7abd8fe19,Water leakage near road,water,high,14,OFF_4
1260160f-816e-4e2f-bf5a-d4d902cbf27c,Street light not working,electricity,low,1,OFF_4
ef552716-4365-45df-bba4-a00cdfb70a1e,Water leakage near road,water,high,4,OFF_4
05d52c2e-feb5-4fb1-b318-233dea9ff29f,Transformer damaged,electricity,low,11,OFF_1
01dc5363-acb6-4921-bb77-31cbd31b164c,Traffic signal broken,road,medium,5,OFF_3
7980630e-1112-4cad-99f7-3cc6350f65d8,Water leakage near road,water,low,15,OFF_2
6d6d1622-dfc7-48d5-90a0-8529895e41cc,Transformer damaged,electricity,high,8,OFF_5
447739d8-6d94-4c81-b822-4f013c585b05,Potholes on highway,road,high,6,OFF_1
4c52d5c7-06a9-4da6-87d1-2ceb7462ec23,Street light not working,electricity,low,10,OFF_5
aa6c5c50-c1a8-431d-9b0a-9a08fc21b260,Dirty water coming from tap,water,low,13,OFF_5
ce243245-e841-42ef-899b-7f36697d38e5,Water leakage near road,water,high,11,OFF_5
b8c8744e-6d68-4f45-9281-53e648684ad9,Transformer damaged,electricity,high,14,OFF_1
7b37f80f-2ec8-444d-8327-27ee03fcf1a8,Potholes on highway,road,medium,12,OFF_1
2a03e9c1-9b2c-45fc-99e8-2449c34d928e,Traffic signal broken,road,medium,13,OFF_3
963ff192-b3a6-467b-bda4-9168f9c250eb,Potholes on highway,road,high,11,OFF_1
43346b66-4f33-4573-afef-39fefac2363b,Potholes on highway,road,low,9,OFF_2
a3dc7fda-09a8-4859-9078-e7efe4c6ef7f,Power outage in sector 9,electricity,medium,2,OFF_3
545540ab-b1c3-4908-bf49-13791de27919,Traffic signal broken,road,medium,15,OFF_2
233240d8-9d01-4b34-bb28-89c2deb7f69f,Transformer damaged,electricity,low,13,OFF_3
2c5224a1-4a88-41d5-9342-6676d7797c59,Water leakage near road,water,medium,7,OFF_3
5fbc4503-3926-4458-af27-832a5276e617,No water supply,water,low,6,OFF_3
888aaaff-e4ef-48ac-9336-ecfb3c9f18c2,Street light not working,electricity,high,7,OFF_1
3e0d96e4-dfe8-4e0a-a665-08f46b549441,Power outage in sector 9,electricity,low,3,OFF_1
101e43df-ebff-4235-9078-11fe0214e3d5,Water leakage near road,water,medium,6,OFF_4
52a277c5-fd3d-467c-bfd5-19d2b95af5c8,Power outage in sector 9,electricity,medium,2,OFF_2
2da0a6e4-4696-4c20-9c80-008db60abe47,Potholes on highway,road,medium,8,OFF_2
f3daed13-bda1-495e-86d1-78dbdd878d91,Road damaged after rain,road,medium,7,OFF_5
dab03db8-8b66-44cb-87b7-b0689a7c2635,Power outage in sector 9,electricity,low,4,OFF_5
e673a14c-82b1-408f-bf58-61edfca10206,Traffic signal broken,road,high,15,OFF_5
6d152fa7-b753-4bfc-bde9-bae33c8a78ae,Potholes on highway,road,medium,9,OFF_3
5566c1d5-27b3-4245-86fd-942e78808ed0,Power outage in sector 9,electricity,low,12,OFF_1
7982df01-cc5a-4a58-9d0a-3e860e93a711,Transformer damaged,electricity,high,3,OFF_1
d90e4ba2-89f4-4be3-b143-28344dab7bb0,Transformer damaged,electricity,high,5,OFF_3
f247bb26-0a76-4932-91a4-7599f05f5aa4,Street light not working,electricity,low,14,OFF_4
990e4d3f-ad9f-4a79-92ce-39bba9a857a2,Street light not working,electricity,high,10,OFF_1
8f630d40-18a0-45f5-9626-5051bb80193d,Traffic signal broken,road,high,9,OFF_3
e210ff70-c7c6-4bd6-b4bc-7b407f622876,Potholes on highway,road,high,8,OFF_4
c46c36b4-c706-4731-b6f4-01b8f7d607b4,Road damaged after rain,road,low,9,OFF_5
2dede6bb-c7c0-462d-acec-1bd966d2f883,Dirty water coming from tap,water,medium,7,OFF_3
bc5cd485-98b8-4b28-972d-d249cb3e7fb0,Street light not working,electricity,medium,5,OFF_1
847189f8-9050-48cd-b7d4-cf2484bc02ac,No water supply,water,low,14,OFF_2
6e5b01f7-9e51-4b50-8279-c7456efefa51,Potholes on highway,road,high,9,OFF_5
d762c524-a04c-4618-a944-59f78ab0b810,Power outage in sector 9,electricity,high,12,OFF_2
756a98f1-c76a-4b67-8778-d4292000fe94,Water leakage near road,water,low,9,OFF_5
7f05c0f6-af1a-444d-95f8-3db16631eaf7,Water leakage near road,water,low,1,OFF_4
1124284b-b0b6-4178-974f-bb84ba2da68c,Power outage in sector 9,electricity,high,12,OFF_1
d154675f-37d8-4683-b5d8-b8e4535d8cf9,Potholes on highway,road,medium,13,OFF_1
02cd20e8-cbc0-4d77-b742-486e1861d46b,Street light not working,electricity,low,1,OFF_5
84a06a8c-ac6e-4e05-b4f6-61e91eef1dee,No water supply,water,low,11,OFF_2
457002d6-3c36-419b-a7c8-6db535531a61,Road damaged after rain,road,low,5,OFF_1
31692b12-4a5c-409e-8e9e-2f66fd60872f,No water supply,water,high,13,OFF_5
b49a565b-676d-4d2c-a045-b409adca2ac9,Dirty water coming from tap,water,medium,2,OFF_4
25927e64-3665-4cc5-baf2-9d215ea0e725,No water supply,water,high,6,OFF_4
3fcfb3ed-9760-41ef-9e49-16444bc6ea47,Power outage in sector 9,electricity,low,5,OFF_1
dd5cd5d9-37a8-4413-b78d-ef9d8b339dc5,Water leakage near road,water,medium,13,OFF_2
b025a1b0-1a25-409b-ab04-47d50b934521,Potholes on highway,road,medium,6,OFF_3
99e201ed-79ae-4ada-ab6f-6f1883116c6a,Street light not working,electricity,high,7,OFF_3
58a11236-98ce-4925-adb1-30c21886999f,Transformer damaged,electricity,medium,15,OFF_5
c3114f40-a32f-4fe4-b363-6c3abf85b498,Traffic signal broken,road,medium,2,OFF_1
78b2bd70-dd5f-4f87-90da-4071e5c791d4,Water leakage near road,water,high,6,OFF_2
997722d8-3140-48a0-8eb5-898c3b4d1e27,Road damaged after rain,road,high,4,OFF_4
0d4d8c24-bcad-4b73-8008-f67338ddf8f8,Water leakage near road,water,low,14,OFF_1
7377a7ef-4254-4970-8380-484599f88fca,Road damaged after rain,road,medium,14,OFF_1
148fad3e-ae1d-4f4e-b660-115f7718e17a,Road damaged after rain,road,medium,10,OFF_3
cc6b0761-c6f7-4efb-ba9a-cbc07ac098b7,No water supply,water,low,14,OFF_5
5188214a-0cee-4b4d-a5e5-cfb4881104ac,No water supply,water,low,12,OFF_5
cf6ae2d7-68a5-459f-91dd-26a76c4be46d,Power outage in sector 9,electricity,high,5,OFF_2
82e20511-48b6-4600-a28d-15fbe11e2f36,Road damaged after rain,road,medium,6,OFF_4
497638b3-cac6-48e4-a338-1d2741a5151c,Transformer damaged,electricity,medium,1,OFF_4
9ca3f85a-0d38-41b2-a923-383056820144,Street light not working,electricity,low,7,OFF_2
23e7c39c-f348-401d-8bf3-bd7518034995,Water leakage near road,water,low,4,OFF_3
d86520f2-41d3-4fed-8eff-95460eddea5c,Transformer damaged,electricity,high,3,OFF_2
19a6a0cb-9a77-4282-81dc-69d86eea0910,Potholes on highway,road,low,4,OFF_5
b032cb71-ed43-42db-9dc7-a622609dc186,Street light not working,electricity,low,1,OFF_2
0b57350b-b7c6-431c-9e92-4e33012c11d3,Street light not working,electricity,medium,11,OFF_1
598cb890-48c7-422c-80b9-2745a807b77d,Transformer damaged,electricity,low,3,OFF_4
00484f95-1804-4502-8535-984aa00da7eb,Road damaged after rain,road,high,8,OFF_1
a234d73e-3282-4da2-8114-a369df7c04da,Potholes on highway,road,low,6,OFF_4
984e7cce-d526-48df-b7e7-c97799493cd9,Traffic signal broken,road,low,5,OFF_2
7cc77ec6-cd36-40ad-91c0-36a71412a29d,Power outage in sector 9,electricity,low,8,OFF_2
596aa3c7-3862-48a1-9156-ee7829821202,Traffic signal broken,road,medium,12,OFF_1
71e69e98-5f0e-4c91-a3a2-93b6f43e5833,Traffic signal broken,road,medium,11,OFF_5
e981b388-360c-4f69-9178-9583537315ec,Road damaged after rain,road,medium,2,OFF_3
b987cd04-eccb-4e61-9a10-c97493eb4b39,Traffic signal broken,road,high,12,OFF_2
45025e2d-60c4-465e-878b-3737e9fc193f,Traffic signal broken,road,high,6,OFF_2
92e84896-8a7b-4b95-b1a7-1462757c6efc,Traffic signal broken,road,medium,3,OFF_5
58254824-4e08-4bb6-a296-80321ae4d9b0,Transformer damaged,electricity,medium,7,OFF_4
3b944dd9-a80e-429b-9a4d-7f696437040e,Transformer damaged,electricity,medium,7,OFF_3
b51a41c4-34e7-4b43-94a4-4d708e926fd7,Dirty water coming from tap,water,high,14,OFF_2
6ed2b9f0-a578-4aaa-9431-9f8816d5aab0,Dirty water coming from tap,water,high,11,OFF_5
1225d98d-1c4b-46bc-aced-13b71fb20faa,Road damaged after rain,road,high,12,OFF_1
02eac49f-06bc-484a-871a-4b3f4ae18af3,Road damaged after rain,road,high,3,OFF_2
44628508-d24d-4b57-8667-57de141479ee,Potholes on highway,road,low,4,OFF_2
369d567b-6ba1-4149-815e-c8ed68ca4a18,Traffic signal broken,road,medium,14,OFF_3
ede390dd-073c-40d2-91b0-977e638c3089,Road damaged after rain,road,medium,6,OFF_5
e6502b82-da43-42ac-abc2-e069f493171e,Water leakage near road,water,medium,6,OFF_5
dce1c208-296e-48ef-b6e9-4923a51cbe10,Water leakage near road,water,high,14,OFF_4
8645a0f8-1890-4897-8843-1c2585248a93,Road damaged after rain,road,low,7,OFF_5
7c489bf1-d561-46df-b2ec-413e64df5837,Dirty water coming from tap,water,low,11,OFF_3
b5f6b897-ade5-4e50-bc95-36a8c44e3427,Dirty water coming from tap,water,medium,12,OFF_4
6ffa9b61-65fe-44c4-95c2-c2c610795aaf,Street light not working,electricity,medium,14,OFF_3
b0252c6e-e11e-4867-b73b-1f2ca0107054,No water supply,water,high,2,OFF_2
e16355c3-e5c8-47be-8ed3-515798246fe8,No water supply,water,low,4,OFF_2
f1d006ff-0e24-451a-81dd-0f62a3700356,Street light not working,electricity,high,5,OFF_2
6782f594-99f5-4bd4-9484-fea7b4bace87,Road damaged after rain,road,high,10,OFF_1
f79cf4df-5837-44a7-9384-c7830e1afeea,Dirty water coming from tap,water,medium,10,OFF_5
5c1c3c3a-08fe-42e9-bd83-372e41391b5e,Street light not working,electricity,high,11,OFF_5
b17b2794-7a8f-412c-801a-4aa80e1293d2,Street light not working,electricity,low,4,OFF_3
30f9a215-463b-4444-a9e0-141a175132ba,Dirty water coming from tap,water,medium,10,OFF_5
dcb83c6d-13bc-4ad8-9c2d-258fda95b91c,Transformer damaged,electricity,medium,1,OFF_2
525c8264-a927-4a9b-a178-6fc8d484b90d,Road damaged after rain,road,medium,11,OFF_2
97e7a1e9-0890-49a0-a6d9-249f6fcc2700,Water leakage near road,water,low,14,OFF_1
82fb2a24-edab-415a-880a-792817ae90f3,Traffic signal broken,road,low,2,OFF_2
e09c9192-df28-4019-aae7-b046c355a3a7,Dirty water coming from tap,water,high,2,OFF_3
68d56a16-cf5b-4605-a4c2-b9a522b905f6,No water supply,water,medium,6,OFF_2
46ebe115-4a99-4483-bbe9-883c2c07a31e,Water leakage near road,water,low,3,OFF_2
d7672a79-04ac-4a14-a810-2477215de32f,No water supply,water,low,2,OFF_4
90bdbf4e-c949-465c-8d35-96fc1847bae1,Road damaged after rain,road,low,6,OFF_1
ca5a0cf3-92d9-4ce5-8fe0-465d8fd81b4f,Transformer damaged,electricity,high,6,OFF_1
88387807-aebb-4a71-a00b-b036912addb0,Traffic signal broken,road,high,15,OFF_3
f3cf346c-7208-4777-b6a2-d1a7c600e60e,Dirty water coming from tap,water,low,10,OFF_2
5d0fc483-1e6b-4b73-91ee-0906fabebfe5,No water supply,water,low,12,OFF_4
1b626c55-6aa5-413b-9ba4-5f6ac1261a75,Road damaged after rain,road,medium,5,OFF_1
c77aae97-d75e-4f1b-b6a1-d135d9474571,Street light not working,electricity,low,13,OFF_1
94729da0-9bd1-42b0-a0a1-43603576beb4,No water supply,water,medium,3,OFF_2
3bfa1e4f-87fa-4e1d-b501-8e611bc058a0,Power outage in sector 9,electricity,medium,5,OFF_1
5e7835b8-f920-437b-84fd-01305cffa54a,No water supply,water,low,12,OFF_5
112a74ec-01f4-4d04-81bd-0df555feed36,Traffic signal broken,road,high,12,OFF_2
bec61b8a-31de-47b4-9b77-3adc69a29929,Traffic signal broken,road,high,3,OFF_2
7a64d1c4-622f-4a50-92e2-eb622de32130,Street light not working,electricity,high,9,OFF_2
e1c7bc29-85eb-45ac-8645-8d2bda3dadc1,Potholes on highway,road,high,1,OFF_5
60351fe1-5a34-4724-a9de-d9d9b4913153,Traffic signal broken,road,high,2,OFF_4
7dd3ba85-4405-46b5-b8a0-199d5a9eb0a4,Road damaged after rain,road,medium,4,OFF_4
08cf8cdf-1da9-43a4-ac67-d6e06b6f976c,No water supply,water,low,15,OFF_2
881df662-d2a0-4846-b11f-58236148eb32,Street light not working,electricity,medium,9,OFF_5
3866bac5-ef68-4363-aeb4-1a9a9bf40322,Traffic signal broken,road,medium,10,OFF_3
f4bcded2-17b0-478e-b45b-6d0c84f15e32,Dirty water coming from tap,water,high,2,OFF_1
4b45a977-51fc-45ae-b876-7b672de0137b,Transformer damaged,electricity,high,4,OFF_3
b5f83c1e-5edc-4bb8-9996-8602bc0ca346,Traffic signal broken,road,medium,15,OFF_2
a54442b1-052f-408d-a4af-8ebf29589d16,No water supply,water,medium,1,OFF_4
e5d84c3d-4aae-453d-b77e-967934cb765f,No water supply,water,low,6,OFF_3
789e3eb1-f07e-4a93-ba85-7e4592e1b6ed,Water leakage near road,water,medium,5,OFF_3
de50e91c-5cd5-46bd-8573-94ec92ddb217,Transformer damaged,electricity,medium,2,OFF_1
ca7d4a93-f998-4dee-ae32-a42a9cd45f5b,No water supply,water,medium,11,OFF_3
9ecb0f13-2d4a-47fd-9860-1b96968045f1,Traffic signal broken,road,medium,7,OFF_5
2fc12541-f862-4da3-91b6-8d5a54fd357f,Potholes on highway,road,high,12,OFF_4
f024c2d2-4de9-4e72-b691-87f95c47276c,Street light not working,electricity,high,2,OFF_5
0cfda29e-7cc8-4ab1-8d5e-dc0c52fffd29,Road damaged after rain,road,high,4,OFF_1
daa361a0-bac2-4ebb-b125-22ba27a4d67a,Traffic signal broken,road,high,7,OFF_1
b724bbc3-4797-477d-93e1-a1ba09d6c07e,Dirty water coming from tap,water,low,10,OFF_3
f86f5356-7703-47af-85f4-57ef917c4b55,Power outage in sector 9,electricity,high,9,OFF_4
53dea16a-1433-404d-9c7b-900db31684b4,No water supply,water,medium,7,OFF_5
00ce3f89-4241-4051-9c01-7320ce8f8249,Water leakage near road,water,medium,7,OFF_4
6a4faaff-7be9-433c-a113-60f01320c49f,Dirty water coming from tap,water,medium,15,OFF_4
fbe9ba98-7bc5-42b7-b18b-5792f8f3c032,Dirty water coming from tap,water,low,4,OFF_3
c9bf58ca-6878-4937-a399-f2f1dc748a15,Transformer damaged,electricity,medium,3,OFF_4
ba38b26b-1e80-45c8-8647-37dc5cfbeccf,Traffic signal broken,road,low,11,OFF_2
d9ce92ff-7d35-42ac-9b87-b3956f6d9afd,Transformer damaged,electricity,medium,3,OFF_5
6d1a3015-e8b6-4e20-b479-9a58b8440544,Potholes on highway,road,low,3,OFF_3
f2df46ab-9f95-498e-873f-9f126a6ab59f,Dirty water coming from tap,water,high,14,OFF_3
20267002-5844-4c3e-94a3-60338264c84b,Potholes on highway,road,low,2,OFF_5
dd609215-0511-46ff-ae5d-8a7c2a559f71,Traffic signal broken,road,high,12,OFF_1
c720d46b-e2f5-4644-ad8e-95510225b443,Traffic signal broken,road,low,12,OFF_3
442f9a64-e46f-4586-901a-2c254508db8d,Power outage in sector 9,electricity,low,4,OFF_2
58f6d91f-36ad-4243-b37f-52d49a9f1675,Dirty water coming from tap,water,high,2,OFF_1
0dcfe8bb-3eb1-4e2c-ba6a-9da3ad54fdc0,Potholes on highway,road,low,15,OFF_2
f7e93197-797d-4ced-92fc-e87fb9a20403,No water supply,water,low,14,OFF_2
a65ecb6c-4f58-4dd5-babc-9d7517859a7a,Street light not working,electricity,medium,13,OFF_1
e2f8b4b7-e8f5-4a30-ad57-a13c46ce22d0,Road damaged after rain,road,high,1,OFF_3
8d5659c1-b489-42fe-a6c9-c45c7267998d,Road damaged after rain,road,low,12,OFF_2
